,f1_base,f1_jpegtrained
001.ak47,0.9824561403508771,0.9655172413793104
002.american-flag,0.9259259259259259,0.9642857142857143
003.backpack,0.945054945054945,0.945054945054945
004.baseball-bat,0.891566265060241,0.8831168831168831
005.baseball-glove,0.9318181818181818,0.9010989010989011
006.basketball-hoop,0.9615384615384616,0.9259259259259259
007.bat,0.9508196721311475,0.9152542372881356
008.bathtub,0.950354609929078,0.9583333333333334
009.bear,0.96875,0.96875
010.beer-mug,0.9473684210526315,0.9629629629629629
